-123,1
167,4
130,-6
-387,3
12,3
218,13
17,-2
205,5
-10,16
-301,-9
177,-7
-198,-1
-245,5
426,0
267,4
-427,-2
-551,19
-346,-17
727,4
152,12
307,-18
148,-3
-402,-15
-631,5
358,3
402,-10
-82,2
-240,15
-98,-9
-103,4
-279,7
-112,24
295,0
-404,11
45,-18
405,-17
15,-3
-720,12
62,-2
75,7
485,-2
194,3
334,-3
293,12
-332,20
-234,5
-637,-29
804,-2
101,-6
-1188,13
-505,2
-391,4
1124,-4
399,-9
227,16
146,2
-144,-5
135,0
580,5
480,14
-819,14
-1611,-3
-443,-1
-130,-5
801,-15
692,-8
-506,0
65,9
1569,11
-645,0
-714,21
-854,-11
-167,22
200,-2
1609,-10
-634,-3
-1597,4
757,-5
1017,2
455,-5
-1612,6
288,1
1649,-2
-38,-30
-1612,21
-1601,-2
248,-3
722,13
1649,22
1649,-5
456,-5
-1607,7
-862,-11
-1230,-13
265,15
-69,4
1649,12
309,-8
-1616,-4
-1615,9
-932,11
1084,9
1649,3
1120,0
-603,11
-1613,15
-1616,-4
988,4
1649,-7
828,-14
-1144,12
-1613,6
606,-8
189,-5
748,3
-935,-10
141,0
1649,0
-789,15
-77,5
-1609,8
-469,2
458,4
409,2
-428,-3
-1611,-9
88,18
1281,-13
1649,-3
513,7
-719,-9
22,-12
-273,-6
-722,0
-782,-2
-301,-9
-378,0
-1613,-6
-328,8
1649,2
1649,-1
-11,-5
-906,-8
530,-16
507,-2
-209,-11
-1299,25
222,-7
82,-3
-291,17
-1205,-8
-636,-9
1649,4
1066,-3
-900,8
-1615,3
20,19
962,-16
257,-17
685,0
-907,9
4,3
386,-12
-278,4
686,0
706,1
-1200,8
-132,12
829,-1
-185,7
-1044,-27
-477,1
-725,7
462,1
907,0
-1613,17
-1612,7
1649,-3
1649,-3
-689,-4
-1613,6
-510,33
790,-3
706,5
725,-2
-1148,1
-1080,-15
-152,-9
-326,5
-425,4
-17,0
-191,6
155,5
648,-5
336,2
-20,-7
-285,-9
-1257,13
1649,0
1628,-4
-53,-1
-1182,2
108,11
268,0
51,-1
-532,-13
-1616,6
280,8
1339,-5
364,3
-1239,-4
-261,8
-343,-1
-922,0
1649,8
557,-4
-744,-9
-488,11
362,5
-686,2
-97,-15
478,-4
929,20
-165,-2
-839,14
-725,-10
25,5
152,-4
489,6
-159,2
-342,2
-113,12
165,-6
50,-26
-183,4
-676,0
-842,0
89,3
1649,12
119,-3
-836,-19
-196,-9
-87,4
-515,5
358,6
542,7
-19,0
-297,-11
-1113,-25
-175,2
1448,11
180,5
-256,2
-289,-9
178,-10
309,14
177,-6
-820,12
-523,-19
-351,11
477,-3
681,12
-897,2
-394,5
109,3
-695,1
1622,1
-351,-7
-10,-8
-109,3
-283,15
-127,2
-146,4
-160,8
-282,-28
175,-9
-979,17
105,8
171,21
303,-4
497,-2
-656,-6
-60,2
4,-10
-706,-12
367,11
1187,0
-519,9
-789,-2
-117,-9
985,11
653,1
316,-1
-379,5
-823,-4
211,-8
-40,16
331,11
-166,2
-39,-12
-742,5
-1609,5
1205,-10
1211,8
-578,1
-568,5
-20,2
302,-8
-849,16
505,1
1138,11
-1061,-5
-997,-15
492,14
399,-10
104,-9
-311,-10
339,15
245,2
-362,-13
-637,-6
33,11
-61,-4
-48,3
253,4
348,3
-528,-17
-105,-7
594,-4
208,-10
-326,8
-255,1
-358,0
-392,0
-497,6
793,-6
1066,-2
245,-10
-267,13
-412,-8
-566,-8
285,3
594,7
407,9
-420,-16
-572,-2
-559,0
234,21
751,5
-527,5
584,-1
-280,-11
-159,-1
-225,11
-177,-6
207,-2
578,4
-982,0
-476,-2
1081,-17
-191,-15
-470,3
148,5
246,-2
-361,12
-379,5
-51,-11
-105,-1
-20,3
398,0
-82,-5
80,4
-26,-6
-336,14
-541,5
309,3
2,4
373,-1
-79,6
-373,3
156,7
330,2
-210,21
238,-11
114,-3
-678,1
-546,8
525,0
344,8
-77,8
126,-3
-140,9
-260,24
280,0
-268,-15
-22,7
-38,20
57,-12
-290,7
-267,-12
-334,17
-18,0
1103,3
-372,22
-252,4
55,-2
-254,1
-208,-9
345,0
60,-1
-334,13
42,6
645,-4
-122,1
-434,-3
-405,9
-36,-5
201,-8
-295,7
-355,-5
269,4
67,7
2,-1
657,-12
-387,-14
26,9
-111,0
-166,5
18,-21
-424,-1
-364,11
-188,0
-99,8
81,0
123,0
152,-10
149,-4
169,-3
-601,4
-613,12
387,-6
472,-10
-821,-12
-64,6
796,0
94,1
-309,-10
-560,2
-324,2
239,2
161,5
-320,1
-53,3
-6,2
